invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount
I103121,C121244,MALE,45,Souvenir,2,23.46,Debit Card,05-04-2021,Metrocity,46.92
I158058,C190762,MALE,27,Clothing,5,1500.4,Cash,01-05-2022,Forum Istanbul,7502
I120445,C594360,MALE,49,Shoes,1,600.17,Cash,07-11-2022,Mall of Istanbul,600.17
I121628,C258679,MALE,46,Clothing,4,1200.32,Credit Card,23-07-2021,Kanyon,4801.28
I249807,C251272,MALE,33,Clothing,4,1200.32,Debit Card,02-05-2021,Viaport Outlet,4801.28
I198895,C299718,MALE,64,Food & Beverage,2,10.46,Debit Card,31-01-2023,Metrocity,20.92
I162794,C340042,MALE,56,Clothing,5,1500.4,Cash,01-02-2022,Metrocity,7502
I184738,C989009,MALE,51,Clothing,4,1200.32,Credit Card,19-08-2021,Forum Istanbul,4801.28
I101879,C419320,MALE,52,Cosmetics,2,81.32,Credit Card,18-06-2021,Kanyon,162.64
I252163,C311089,MALE,65,Cosmetics,3,121.98,Debit Card,26-02-2021,Forum Istanbul,365.94
I132877,C821587,MALE,33,Clothing,5,1500.4,Cash,07-10-2021,Metropol AVM,7502
I892880,C250433,MALE,62,Toys,5,179.2,Credit Card,23-06-2022,Mall of Istanbul,896
I269818,C194306,MALE,31,Clothing,5,1500.4,Credit Card,14-03-2022,Mall of Istanbul,7502
I174905,C740657,MALE,52,Shoes,1,600.17,Cash,06-11-2022,Mall of Istanbul,600.17
I142487,C311273,MALE,65,Shoes,1,600.17,Cash,09-09-2022,Metrocity,600.17
I254861,C181253,MALE,27,Cosmetics,4,162.64,Cash,28-02-2023,Viaport Outlet,650.56
I647398,C244227,MALE,26,Souvenir,4,46.92,Credit Card,20-02-2021,Cevahir AVM,187.68
I246348,C123864,MALE,42,Clothing,3,900.24,Cash,16-05-2021,Metrocity,2700.72
I172004,C143262,MALE,62,Clothing,2,600.16,Cash,12-02-2022,Metropol AVM,1200.32
I559391,C121799,MALE,29,Toys,2,71.68,Debit Card,15-10-2022,Zorlu Center,143.36
I297614,C324311,MALE,56,Clothing,1,300.08,Cash,07-02-2023,Mall of Istanbul,300.08
I135286,C135198,MALE,63,Toys,2,71.68,Cash,04-12-2022,Mall of Istanbul,143.36
I152228,C260394,MALE,65,Food & Beverage,2,10.46,Credit Card,07-08-2021,Kanyon,20.92
I141343,C329522,MALE,69,Clothing,3,900.24,Cash,28-12-2022,Zorlu Center,2700.72
I181684,C151911,MALE,64,Toys,4,143.36,Debit Card,21-07-2021,Kanyon,573.44
I242666,C264794,MALE,22,Clothing,4,1200.32,Cash,04-09-2022,Metropol AVM,4801.28
I134467,C275416,MALE,44,Toys,1,35.84,Cash,02-09-2021,Metrocity,35.84
I260930,C213931,MALE,47,Shoes,2,1200.34,Debit Card,02-01-2021,Metropol AVM,2400.68
I320229,C183902,MALE,59,Toys,1,35.84,Debit Card,25-02-2023,Emaar Square Mall,35.84
I200557,C247349,MALE,41,Food & Beverage,3,15.69,Debit Card,28-05-2022,Mall of Istanbul,47.07
I162598,C658783,MALE,54,Cosmetics,5,203.3,Cash,02-08-2022,Metrocity,1016.5
I229494,C338090,MALE,63,Technology,1,1050,Debit Card,29-04-2021,Mall of Istanbul,1050
I244429,C284869,MALE,35,Clothing,1,300.08,Cash,28-07-2021,Kanyon,300.08
I159105,C109544,MALE,49,Toys,3,107.52,Debit Card,26-07-2022,Istinye Park,322.56
I142568,C302417,MALE,18,Clothing,1,300.08,Credit Card,15-10-2021,Mall of Istanbul,300.08
I231063,C233944,MALE,59,Clothing,1,300.08,Cash,26-04-2021,Metropol AVM,300.08
I139342,C281489,MALE,54,Shoes,5,3000.85,Credit Card,20-06-2022,Mall of Istanbul,15004.25
I808751,C123697,MALE,32,Toys,2,71.68,Cash,14-08-2022,Metrocity,143.36
I218960,C758400,MALE,47,Cosmetics,5,203.3,Cash,22-06-2021,Metrocity,1016.5
I506215,C251152,MALE,21,Toys,2,71.68,Cash,16-02-2023,Kanyon,143.36
I346323,C318083,MALE,19,Clothing,4,1200.32,Debit Card,12-09-2021,Metrocity,4801.28
I712882,C143876,MALE,56,Clothing,4,1200.32,Cash,21-04-2022,Istinye Park,4801.28
I371638,C393387,MALE,68,Clothing,5,1500.4,Credit Card,16-12-2021,Metrocity,7502
I300597,C181049,MALE,25,Shoes,5,3000.85,Debit Card,08-03-2023,Forum Istanbul,15004.25
I164685,C644529,MALE,67,Food & Beverage,3,15.69,Credit Card,15-08-2022,Istinye Park,47.07
I228261,C620208,MALE,19,Cosmetics,4,162.64,Debit Card,06-02-2022,Mall of Istanbul,650.56
I154538,C124768,MALE,48,Cosmetics,4,162.64,Cash,08-04-2022,Forum Istanbul,650.56
I348930,C331439,MALE,21,Clothing,3,900.24,Credit Card,16-03-2021,Kanyon,2700.72
I468874,C327419,MALE,41,Cosmetics,1,40.66,Credit Card,22-10-2022,Kanyon,40.66
I267562,C223508,MALE,29,Food & Beverage,2,10.46,Credit Card,17-04-2021,Forum Istanbul,20.92
I219176,C337536,MALE,42,Food & Beverage,2,10.46,Cash,05-06-2021,Kanyon,20.92
I352991,C253546,MALE,64,Cosmetics,2,81.32,Cash,08-04-2021,Metrocity,162.64
I241656,C182590,MALE,64,Clothing,4,1200.32,Cash,22-11-2022,Cevahir AVM,4801.28
I251711,C303561,MALE,68,Clothing,3,900.24,Debit Card,26-02-2023,Forum Istanbul,2700.72
I278655,C216475,MALE,29,Cosmetics,1,40.66,Credit Card,13-01-2023,Kanyon,40.66
I385587,C284510,MALE,49,Shoes,5,3000.85,Cash,12-11-2022,Cevahir AVM,15004.25
I313739,C243321,MALE,69,Shoes,3,1800.51,Credit Card,09-02-2023,Metropol AVM,5401.53
I130195,C195167,MALE,45,Food & Beverage,2,10.46,Credit Card,11-10-2021,Metrocity,20.92
I126622,C336693,MALE,35,Food & Beverage,5,26.15,Credit Card,26-01-2021,Zorlu Center,130.75
I153684,C125436,MALE,68,Toys,4,143.36,Debit Card,30-12-2022,Metrocity,573.44
I135483,C108683,MALE,59,Cosmetics,1,40.66,Debit Card,07-09-2021,Metrocity,40.66
I298518,C392548,MALE,19,Clothing,4,1200.32,Debit Card,09-09-2022,Metrocity,4801.28
I251509,C213824,MALE,66,Cosmetics,2,81.32,Credit Card,06-03-2023,Metrocity,162.64
I243235,C139781,MALE,32,Cosmetics,5,203.3,Credit Card,05-09-2021,Istinye Park,1016.5
I104074,C319858,MALE,20,Technology,2,2100,Debit Card,12-10-2021,Emaar Square Mall,4200
I327495,C316258,MALE,50,Clothing,1,300.08,Credit Card,15-07-2021,Zorlu Center,300.08
I193528,C111694,MALE,36,Food & Beverage,1,5.23,Cash,29-07-2022,Istinye Park,5.23
I294343,C292600,MALE,20,Toys,2,71.68,Debit Card,15-02-2023,Zorlu Center,143.36
I143416,C218720,MALE,54,Toys,2,71.68,Debit Card,14-01-2022,Metrocity,143.36
I136276,C586266,MALE,37,Books,2,30.3,Cash,16-03-2021,Metrocity,60.6
I242038,C211628,MALE,62,Cosmetics,4,162.64,Credit Card,21-02-2022,Metropol AVM,650.56
I267024,C285554,MALE,53,Clothing,4,1200.32,Debit Card,20-02-2022,Kanyon,4801.28
I346588,C309014,MALE,40,Clothing,5,1500.4,Credit Card,23-08-2022,Kanyon,7502
I302850,C124492,MALE,58,Toys,2,71.68,Cash,30-01-2022,Metrocity,143.36
I110639,C237735,MALE,19,Toys,4,143.36,Cash,22-01-2023,Metrocity,573.44
I110297,C324162,MALE,35,Cosmetics,5,203.3,Cash,29-03-2021,Forum Istanbul,1016.5
I161945,C191270,MALE,52,Clothing,2,600.16,Cash,01-05-2022,Kanyon,1200.32
I182667,C377947,MALE,57,Food & Beverage,5,26.15,Cash,04-01-2023,Metropol AVM,130.75
I118587,C743987,MALE,34,Food & Beverage,2,10.46,Debit Card,16-01-2023,Cevahir AVM,20.92
I127620,C286540,MALE,44,Cosmetics,4,162.64,Credit Card,19-11-2021,Kanyon,650.56
I302753,C539690,MALE,37,Clothing,2,600.16,Credit Card,30-09-2021,Mall of Istanbul,1200.32
I318848,C330376,MALE,46,Cosmetics,1,40.66,Debit Card,23-07-2022,Metropol AVM,40.66
I165835,C606042,MALE,55,Cosmetics,4,162.64,Debit Card,03-03-2023,Mall of Istanbul,650.56
I283971,C169034,MALE,64,Clothing,2,600.16,Credit Card,12-07-2022,Istinye Park,1200.32
I111840,C720165,MALE,55,Clothing,3,900.24,Cash,13-03-2021,Metrocity,2700.72
I346405,C273649,MALE,19,Cosmetics,3,121.98,Cash,16-08-2021,Mall of Istanbul,365.94
I107983,C210954,MALE,41,Food & Beverage,3,15.69,Debit Card,14-12-2022,Cevahir AVM,47.07
I324752,C942247,MALE,57,Cosmetics,3,121.98,Cash,13-08-2022,Metropol AVM,365.94
I219251,C255605,MALE,51,Shoes,5,3000.85,Credit Card,23-06-2022,Istinye Park,15004.25
I322692,C214669,MALE,25,Clothing,1,300.08,Debit Card,22-12-2021,Kanyon,300.08
I277739,C251257,MALE,48,Clothing,1,300.08,Cash,13-04-2021,Zorlu Center,300.08
I320081,C222037,MALE,44,Books,4,60.6,Credit Card,24-03-2021,Metrocity,242.4
I323614,C284982,MALE,26,Clothing,2,600.16,Credit Card,14-07-2021,Mall of Istanbul,1200.32
I316937,C179898,MALE,61,Clothing,1,300.08,Credit Card,09-03-2022,Mall of Istanbul,300.08
I380300,C161506,MALE,55,Cosmetics,3,121.98,Credit Card,28-07-2021,Metrocity,365.94
I226598,C721213,MALE,19,Toys,3,107.52,Cash,12-03-2021,Cevahir AVM,322.56
I258718,C866807,MALE,52,Food & Beverage,2,10.46,Debit Card,27-02-2022,Kanyon,20.92
I288796,C337268,MALE,49,Cosmetics,5,203.3,Credit Card,16-03-2021,Forum Istanbul,1016.5
I137223,C303317,MALE,22,Food & Beverage,2,10.46,Cash,08-12-2021,Istinye Park,20.92
I151401,C957649,MALE,19,Technology,1,1050,Credit Card,20-11-2021,Kanyon,1050
I551572,C330253,MALE,53,Cosmetics,5,203.3,Cash,28-02-2023,Emaar Square Mall,1016.5
I110317,C241569,MALE,40,Toys,1,35.84,Debit Card,08-09-2022,Istinye Park,35.84
I338153,C809750,MALE,36,Toys,2,71.68,Credit Card,08-10-2021,Kanyon,143.36
I240532,C179946,MALE,68,Shoes,3,1800.51,Cash,22-04-2021,Kanyon,5401.53
I510694,C144386,MALE,46,Clothing,4,1200.32,Credit Card,05-12-2022,Mall of Istanbul,4801.28
I186428,C178672,MALE,39,Clothing,2,600.16,Cash,20-08-2021,Metrocity,1200.32
I235037,C798953,MALE,66,Technology,3,3150,Credit Card,07-06-2021,Kanyon,9450
I233664,C472006,MALE,36,Cosmetics,5,203.3,Cash,27-03-2022,Kanyon,1016.5
I469616,C394424,MALE,57,Clothing,5,1500.4,Debit Card,10-10-2022,Zorlu Center,7502
I256688,C339513,MALE,59,Cosmetics,3,121.98,Cash,06-10-2022,Kanyon,365.94
I210712,C325316,MALE,35,Souvenir,3,35.19,Cash,20-12-2022,Metropol AVM,105.57
I221041,C262972,MALE,58,Clothing,4,1200.32,Credit Card,17-02-2021,Istinye Park,4801.28
I453526,C221633,MALE,39,Toys,4,143.36,Debit Card,27-02-2022,Mall of Istanbul,573.44
I242532,C221385,MALE,62,Clothing,3,900.24,Credit Card,17-01-2021,Istinye Park,2700.72
I135057,C643519,MALE,52,Clothing,3,900.24,Credit Card,20-07-2021,Metrocity,2700.72
I254683,C174155,MALE,67,Food & Beverage,1,5.23,Debit Card,23-01-2021,Metrocity,5.23
I245398,C512778,MALE,51,Cosmetics,5,203.3,Credit Card,01-08-2022,Kanyon,1016.5
I250281,C355322,MALE,60,Toys,2,71.68,Cash,09-12-2022,Mall of Istanbul,143.36
I246599,C311575,MALE,45,Cosmetics,1,40.66,Credit Card,26-11-2021,Mall of Istanbul,40.66
I113767,C261188,MALE,68,Books,2,30.3,Credit Card,11-06-2021,Kanyon,60.6
I294101,C184955,MALE,62,Souvenir,3,35.19,Cash,24-05-2021,Kanyon,105.57
I335969,C318473,MALE,48,Cosmetics,4,162.64,Debit Card,06-05-2021,Kanyon,650.56
I321229,C229912,MALE,28,Cosmetics,5,203.3,Debit Card,13-05-2022,Istinye Park,1016.5
I308730,C266275,MALE,64,Clothing,1,300.08,Debit Card,16-03-2021,Kanyon,300.08
I683780,C335384,MALE,44,Food & Beverage,1,5.23,Cash,19-02-2022,Metrocity,5.23
I333383,C313944,MALE,34,Clothing,2,600.16,Cash,18-01-2023,Metropol AVM,1200.32
I132371,C191124,MALE,46,Clothing,3,900.24,Credit Card,30-12-2021,Emaar Square Mall,2700.72
I279851,C287614,MALE,43,Shoes,5,3000.85,Debit Card,03-11-2021,Kanyon,15004.25
I328883,C252599,MALE,22,Clothing,3,900.24,Cash,21-08-2021,Zorlu Center,2700.72
I317825,C275304,MALE,19,Food & Beverage,3,15.69,Debit Card,23-12-2022,Mall of Istanbul,47.07
I283293,C410210,MALE,19,Toys,4,143.36,Credit Card,06-12-2021,Metropol AVM,573.44
I799294,C230266,MALE,35,Shoes,4,2400.68,Credit Card,13-01-2022,Mall of Istanbul,9602.72
I534688,C520872,MALE,50,Clothing,3,900.24,Credit Card,16-08-2021,Emaar Square Mall,2700.72
I212122,C832873,MALE,35,Clothing,2,600.16,Credit Card,23-03-2022,Mall of Istanbul,1200.32
I904535,C261744,MALE,28,Clothing,1,300.08,Cash,16-05-2021,Kanyon,300.08
I762506,C319540,MALE,37,Toys,3,107.52,Cash,30-06-2022,Kanyon,322.56
I265761,C264878,MALE,27,Toys,3,107.52,Debit Card,15-05-2022,Kanyon,322.56
I336363,C136469,MALE,44,Books,5,75.75,Debit Card,26-07-2022,Metrocity,378.75
I277058,C270460,MALE,68,Toys,3,107.52,Credit Card,25-07-2021,Kanyon,322.56
I114034,C176988,MALE,18,Books,3,45.45,Credit Card,19-12-2021,Kanyon,136.35
I722915,C244078,MALE,26,Souvenir,1,11.73,Debit Card,30-04-2021,Mall of Istanbul,11.73
I272367,C268819,MALE,65,Clothing,5,1500.4,Debit Card,11-02-2021,Kanyon,7502
I210074,C278286,MALE,63,Books,4,60.6,Cash,25-01-2021,Viaport Outlet,242.4
I666179,C177368,MALE,25,Books,1,15.15,Cash,31-03-2021,Viaport Outlet,15.15
I813046,C196301,MALE,33,Shoes,3,1800.51,Cash,27-10-2021,Istinye Park,5401.53
I344455,C104532,MALE,33,Food & Beverage,3,15.69,Cash,01-07-2022,Viaport Outlet,47.07
I264652,C123916,MALE,27,Clothing,2,600.16,Debit Card,09-11-2021,Mall of Istanbul,1200.32
I209939,C177912,MALE,56,Toys,3,107.52,Cash,17-05-2021,Istinye Park,322.56
I244472,C326665,MALE,24,Clothing,2,600.16,Credit Card,19-09-2022,Metropol AVM,1200.32
I271709,C178398,MALE,38,Toys,4,143.36,Cash,23-03-2021,Metropol AVM,573.44
I264238,C399834,MALE,22,Clothing,4,1200.32,Cash,17-09-2021,Mall of Istanbul,4801.28
I201807,C324906,MALE,44,Clothing,5,1500.4,Credit Card,30-07-2021,Mall of Istanbul,7502
I181681,C234645,MALE,64,Technology,1,1050,Debit Card,27-04-2022,Kanyon,1050
I236488,C332771,MALE,29,Clothing,4,1200.32,Cash,01-12-2021,Kanyon,4801.28
I133637,C739772,MALE,34,Clothing,1,300.08,Debit Card,24-07-2022,Viaport Outlet,300.08
I267309,C118463,MALE,45,Food & Beverage,1,5.23,Credit Card,18-06-2021,Viaport Outlet,5.23
I914004,C321488,MALE,18,Clothing,4,1200.32,Cash,08-10-2021,Kanyon,4801.28
I300807,C302459,MALE,22,Clothing,3,900.24,Cash,23-02-2023,Metrocity,2700.72
I241042,C256405,MALE,69,Food & Beverage,3,15.69,Cash,30-04-2021,Viaport Outlet,47.07
I327594,C189864,MALE,25,Souvenir,1,11.73,Cash,06-10-2022,Kanyon,11.73
I996782,C216924,MALE,45,Shoes,2,1200.34,Credit Card,15-08-2021,Mall of Istanbul,2400.68
I307152,C899229,MALE,60,Souvenir,3,35.19,Cash,03-11-2022,Metropol AVM,105.57
I192193,C118627,MALE,69,Clothing,5,1500.4,Cash,10-01-2021,Zorlu Center,7502
I253250,C262128,MALE,40,Clothing,2,600.16,Cash,11-03-2021,Kanyon,1200.32
I795590,C251316,MALE,33,Toys,3,107.52,Cash,25-01-2023,Mall of Istanbul,322.56
I100138,C237364,MALE,52,Clothing,2,600.16,Cash,19-06-2021,Mall of Istanbul,1200.32
I397490,C118061,MALE,48,Cosmetics,4,162.64,Credit Card,16-05-2022,Kanyon,650.56
I492903,C311610,MALE,21,Toys,2,71.68,Debit Card,16-10-2021,Zorlu Center,143.36
I160539,C158932,MALE,26,Books,4,60.6,Debit Card,12-07-2022,Metrocity,242.4
I177364,C331778,MALE,60,Toys,4,143.36,Cash,19-01-2023,Mall of Istanbul,573.44
I163475,C970486,MALE,22,Technology,3,3150,Credit Card,03-12-2022,Metrocity,9450
I219590,C306419,MALE,28,Toys,3,107.52,Cash,21-02-2021,Mall of Istanbul,322.56
I200525,C350953,MALE,29,Clothing,1,300.08,Cash,07-12-2021,Metrocity,300.08
I241129,C183093,MALE,30,Clothing,4,1200.32,Debit Card,09-12-2022,Mall of Istanbul,4801.28
I310429,C198020,MALE,55,Clothing,4,1200.32,Credit Card,26-03-2022,Istinye Park,4801.28
I251452,C123700,MALE,22,Shoes,5,3000.85,Debit Card,09-05-2021,Mall of Istanbul,15004.25
I276929,C205933,MALE,47,Clothing,3,900.24,Cash,26-02-2022,Kanyon,2700.72
I270675,C137647,MALE,67,Cosmetics,3,121.98,Debit Card,28-02-2022,Metrocity,365.94
I112478,C630045,MALE,30,Clothing,2,600.16,Credit Card,31-05-2022,Kanyon,1200.32
I990189,C223480,MALE,27,Clothing,4,1200.32,Credit Card,28-06-2022,Cevahir AVM,4801.28
I119234,C301976,MALE,22,Clothing,4,1200.32,Debit Card,18-12-2021,Mall of Istanbul,4801.28
I328025,C313383,MALE,47,Food & Beverage,5,26.15,Credit Card,08-06-2021,Istinye Park,130.75
I206570,C203281,MALE,29,Clothing,4,1200.32,Cash,20-05-2022,Kanyon,4801.28
I233687,C201572,MALE,24,Cosmetics,4,162.64,Cash,10-04-2021,Kanyon,650.56
I236188,C183409,MALE,25,Food & Beverage,4,20.92,Debit Card,04-03-2021,Mall of Istanbul,83.68
I217901,C334930,MALE,27,Clothing,5,1500.4,Cash,28-07-2021,Istinye Park,7502
I142300,C171538,MALE,55,Clothing,5,1500.4,Cash,02-07-2022,Metropol AVM,7502
I869107,C582951,MALE,45,Cosmetics,5,203.3,Cash,19-02-2022,Istinye Park,1016.5
I761305,C125695,MALE,30,Cosmetics,2,81.32,Credit Card,25-09-2021,Kanyon,162.64
I293887,C552872,MALE,30,Cosmetics,4,162.64,Credit Card,23-02-2022,Istinye Park,650.56
I190011,C320521,MALE,19,Food & Beverage,5,26.15,Credit Card,26-05-2021,Metropol AVM,130.75
I289889,C875983,MALE,33,Clothing,1,300.08,Cash,16-07-2021,Metrocity,300.08
I275229,C269830,MALE,55,Food & Beverage,1,5.23,Credit Card,07-05-2021,Mall of Istanbul,5.23
I258560,C419696,MALE,42,Cosmetics,2,81.32,Cash,27-03-2021,Forum Istanbul,162.64
I295401,C280315,MALE,23,Clothing,4,1200.32,Credit Card,09-11-2021,Metropol AVM,4801.28
I177050,C277281,MALE,51,Books,4,60.6,Cash,12-09-2021,Emaar Square Mall,242.4
I100464,C129826,MALE,44,Clothing,2,600.16,Debit Card,01-05-2021,Mall of Istanbul,1200.32
I160697,C236329,MALE,43,Technology,2,2100,Credit Card,15-09-2022,Mall of Istanbul,4200
I294051,C207500,MALE,51,Cosmetics,5,203.3,Credit Card,22-11-2022,Istinye Park,1016.5
I357955,C702933,MALE,65,Food & Beverage,1,5.23,Debit Card,13-09-2022,Kanyon,5.23
I274432,C333615,MALE,59,Cosmetics,2,81.32,Cash,08-03-2023,Metropol AVM,162.64
I966471,C119569,MALE,49,Food & Beverage,4,20.92,Cash,14-12-2022,Metropol AVM,83.68
I307728,C896139,MALE,21,Clothing,1,300.08,Cash,04-04-2022,Viaport Outlet,300.08
I598960,C239728,MALE,56,Clothing,4,1200.32,Debit Card,06-05-2021,Mall of Istanbul,4801.28
I110804,C105807,MALE,26,Toys,3,107.52,Debit Card,03-01-2023,Zorlu Center,322.56
I160222,C159693,MALE,51,Shoes,5,3000.85,Debit Card,20-02-2023,Kanyon,15004.25
I118984,C337341,MALE,52,Clothing,4,1200.32,Cash,27-02-2021,Cevahir AVM,4801.28
I204862,C212875,MALE,49,Souvenir,1,11.73,Cash,09-10-2022,Istinye Park,11.73
I307701,C114552,MALE,19,Food & Beverage,3,15.69,Credit Card,05-06-2022,Kanyon,47.07
I223651,C813976,MALE,24,Food & Beverage,1,5.23,Cash,13-02-2022,Metrocity,5.23
I909928,C245947,MALE,45,Food & Beverage,5,26.15,Debit Card,12-01-2022,Metrocity,130.75
I495331,C102085,MALE,20,Souvenir,3,35.19,Cash,20-10-2021,Zorlu Center,105.57
I108407,C262402,MALE,42,Clothing,5,1500.4,Cash,25-10-2021,Metrocity,7502
I673552,C178880,MALE,65,Clothing,5,1500.4,Debit Card,15-12-2022,Metrocity,7502
I183229,C324868,MALE,49,Cosmetics,2,81.32,Credit Card,27-04-2022,Metrocity,162.64
I140081,C256257,MALE,42,Clothing,2,600.16,Credit Card,14-12-2021,Emaar Square Mall,1200.32
I210904,C276184,MALE,65,Technology,3,3150,Cash,14-08-2021,Metrocity,9450
I331119,C122852,MALE,50,Technology,2,2100,Credit Card,11-10-2022,Kanyon,4200
I793619,C109964,MALE,66,Shoes,2,1200.34,Debit Card,09-05-2021,Viaport Outlet,2400.68
I213789,C174454,MALE,38,Clothing,2,600.16,Cash,16-12-2022,Metrocity,1200.32
I339688,C150725,MALE,68,Technology,3,3150,Debit Card,05-09-2022,Metrocity,9450
I151540,C987575,MALE,69,Clothing,3,900.24,Debit Card,17-03-2022,Zorlu Center,2700.72
I210522,C427709,MALE,52,Food & Beverage,1,5.23,Credit Card,13-05-2021,Mall of Istanbul,5.23
I843469,C719931,MALE,26,Books,1,15.15,Credit Card,08-03-2021,Viaport Outlet,15.15
I711107,C625797,MALE,59,Shoes,4,2400.68,Cash,23-04-2022,Istinye Park,9602.72
I279737,C308775,MALE,18,Toys,5,179.2,Debit Card,02-01-2023,Metropol AVM,896
I319220,C573070,MALE,59,Technology,3,3150,Cash,09-10-2021,Cevahir AVM,9450
I109964,C224660,MALE,40,Cosmetics,5,203.3,Credit Card,07-01-2022,Metropol AVM,1016.5
I230405,C320222,MALE,38,Clothing,2,600.16,Credit Card,25-08-2022,Kanyon,1200.32
I252583,C175254,MALE,29,Food & Beverage,4,20.92,Cash,12-11-2022,Metrocity,83.68
I502816,C289441,MALE,21,Clothing,5,1500.4,Cash,15-10-2022,Metrocity,7502
I999023,C248973,MALE,21,Clothing,5,1500.4,Credit Card,11-03-2021,Zorlu Center,7502
I176063,C267313,MALE,23,Clothing,4,1200.32,Cash,05-12-2021,Metropol AVM,4801.28
I253873,C264158,MALE,26,Books,1,15.15,Credit Card,05-11-2021,Zorlu Center,15.15
I128257,C362545,MALE,19,Cosmetics,4,162.64,Cash,24-03-2022,Viaport Outlet,650.56
I523511,C681166,MALE,25,Clothing,5,1500.4,Credit Card,17-06-2021,Viaport Outlet,7502
I302546,C527325,MALE,21,Clothing,2,600.16,Debit Card,20-01-2022,Mall of Istanbul,1200.32
I199432,C145953,MALE,30,Toys,5,179.2,Cash,21-09-2021,Metrocity,896
I218398,C247142,MALE,49,Toys,2,71.68,Cash,31-10-2022,Kanyon,143.36
I154569,C533566,MALE,56,Toys,3,107.52,Credit Card,18-03-2021,Istinye Park,322.56
I166650,C124077,MALE,35,Food & Beverage,5,26.15,Credit Card,18-09-2022,Forum Istanbul,130.75
I393818,C246097,MALE,53,Books,3,45.45,Cash,27-06-2022,Cevahir AVM,136.35
I253476,C319199,MALE,33,Cosmetics,4,162.64,Credit Card,21-05-2021,Mall of Istanbul,650.56
I748082,C300784,MALE,34,Food & Beverage,3,15.69,Cash,04-05-2022,Zorlu Center,47.07
I157000,C211233,MALE,50,Clothing,3,900.24,Credit Card,01-01-2021,Istinye Park,2700.72
I182031,C726125,MALE,24,Clothing,2,600.16,Credit Card,28-02-2021,Mall of Istanbul,1200.32
I122691,C309663,MALE,50,Clothing,1,300.08,Debit Card,05-03-2022,Kanyon,300.08
I186074,C178299,MALE,47,Toys,5,179.2,Credit Card,28-11-2021,Metrocity,896
I235337,C248251,MALE,28,Clothing,2,600.16,Cash,19-11-2022,Metrocity,1200.32
I121625,C232752,MALE,37,Clothing,5,1500.4,Credit Card,04-03-2021,Metrocity,7502
I313427,C234302,MALE,35,Cosmetics,4,162.64,Debit Card,02-02-2021,Forum Istanbul,650.56
I259816,C319478,MALE,57,Cosmetics,3,121.98,Credit Card,16-11-2022,Mall of Istanbul,365.94
I317685,C326639,MALE,44,Souvenir,1,11.73,Debit Card,24-05-2022,Kanyon,11.73
I322609,C302154,MALE,20,Food & Beverage,5,26.15,Cash,20-04-2021,Metrocity,130.75
I240992,C262478,MALE,35,Clothing,5,1500.4,Cash,03-05-2022,Zorlu Center,7502
I107963,C264785,MALE,36,Food & Beverage,1,5.23,Credit Card,18-04-2022,Zorlu Center,5.23
I305743,C290716,MALE,64,Food & Beverage,1,5.23,Credit Card,15-12-2021,Metrocity,5.23
I855683,C186980,MALE,18,Cosmetics,2,81.32,Cash,28-08-2022,Emaar Square Mall,162.64
I145550,C475865,MALE,38,Toys,3,107.52,Cash,06-09-2022,Kanyon,322.56
I145848,C985921,MALE,34,Toys,1,35.84,Cash,28-11-2022,Zorlu Center,35.84
I261133,C239517,MALE,25,Cosmetics,4,162.64,Debit Card,20-08-2021,Metrocity,650.56
I429281,C134050,MALE,43,Food & Beverage,2,10.46,Credit Card,08-02-2023,Mall of Istanbul,20.92
I103663,C155404,MALE,30,Food & Beverage,4,20.92,Cash,19-07-2022,Istinye Park,83.68
I148800,C418983,MALE,58,Books,3,45.45,Debit Card,08-01-2021,Metrocity,136.35
I212128,C157515,MALE,28,Technology,1,1050,Credit Card,03-03-2021,Metrocity,1050
I257102,C278148,MALE,38,Books,5,75.75,Cash,30-01-2023,Mall of Istanbul,378.75
I243966,C278567,MALE,63,Toys,3,107.52,Credit Card,23-12-2022,Kanyon,322.56
I143495,C513538,MALE,39,Clothing,1,300.08,Credit Card,20-12-2022,Kanyon,300.08
I136578,C237989,MALE,64,Food & Beverage,3,15.69,Cash,08-02-2022,Metrocity,47.07
I168429,C313517,MALE,54,Clothing,4,1200.32,Debit Card,02-05-2022,Kanyon,4801.28
I406983,C645136,MALE,57,Clothing,4,1200.32,Credit Card,29-06-2021,Kanyon,4801.28
I583242,C254000,MALE,64,Toys,3,107.52,Cash,13-07-2021,Metrocity,322.56
I228263,C438071,MALE,41,Food & Beverage,5,26.15,Cash,19-05-2021,Metropol AVM,130.75
I231792,C275681,MALE,27,Clothing,2,600.16,Credit Card,20-05-2021,Mall of Istanbul,1200.32
I283188,C103415,MALE,56,Clothing,5,1500.4,Cash,16-04-2021,Zorlu Center,7502
I897591,C302350,MALE,18,Shoes,4,2400.68,Cash,06-01-2023,Viaport Outlet,9602.72
I261954,C131681,MALE,45,Clothing,1,300.08,Cash,18-03-2022,Metrocity,300.08
I311793,C241499,MALE,54,Food & Beverage,2,10.46,Cash,14-01-2022,Kanyon,20.92
I176550,C306606,MALE,57,Food & Beverage,4,20.92,Debit Card,25-08-2022,Mall of Istanbul,83.68
I137973,C273089,MALE,28,Toys,4,143.36,Credit Card,27-06-2021,Metropol AVM,573.44
